Cidade,UF,População,Possui Plano Municipal,População sem Água,População sem Esgoto,População sem coleta de lixo,Domicílios sujeitos à inundações
Caçador,SC,80017,Sim,0.10,--,0.00,0.01
Viçosa,MG,79910,Sim,0.04,0.17,0.02,0.02
Senhor do Bonfim,BA,79813,Sim,0.09,0.94,0.23,0.02
Russas,CE,79550,Em elaboração,0.53,0.83,0.06,0.00
Cajamar,SP,79034,Sim,0.00,0.07,--,0.03
Lins,SP,78978,Em elaboração,0.00,0.00,0.02,0.00
Picos,PI,78627,Não,0.04,0.48,0.00,0.20
Novo Repartimento,PA,78488,Sim,0.95,--,0.36,0.02
Jaboticabal,SP,78029,Sim,0.04,0.04,0.03,0.00
Bebedouro,SP,77612,Sim,0.00,0.00,0.05,0.03
Santo Ângelo,RS,77544,Sim,0.06,0.71,0.06,0.00
Canindé,CE,77484,Não,0.27,0.80,0.26,0.00
Itapetinga,BA,77408,Em elaboração,0.00,0.06,0.03,--
Pirassununga,SP,77330,Sim,0.08,0.08,0.08,0.00
Valença,RJ,77202,Sim,0.18,0.00,0.13,0.02
Tianguá,CE,77111,Não,0.50,0.81,0.09,0.00
Belo Jardim,PE,76930,Em elaboração,0.00,--,0.20,0.01
Santo Antônio do Descoberto,GO,76871,Em elaboração,0.11,0.43,0.12,0.06
Santana do Araguaia,PA,75995,Não,0.87,--,0.51,0.01
Cataguases,MG,75942,Sim,0.15,0.39,0.00,0.00
Concórdia,SC,75683,Sim,0.03,0.75,0.20,0.01
Itapira,SP,75683,Sim,0.01,0.01,0.00,0.00
Rio Largo,AL,75662,Em elaboração,0.39,0.84,0.18,0.03
Sant'Ana do Livramento,RS,75647,Sim,0.09,0.61,0.09,0.01
Aracati,CE,75392,Em elaboração,0.55,0.86,0.22,0.01
Arcoverde,PE,75295,Não,0.00,0.95,0.01,0.01
Crateús,CE,75241,Sim,0.50,0.68,0.17,0.12
Oriximiná,PA,74921,Em elaboração,0.01,--,0.54,0.17
Ouro Preto,MG,74824,Sim,0.13,0.45,0.04,0.00
Cosmópolis,SP,74662,Em elaboração,0.03,0.09,0.00,0.00
Cidade Ocidental,GO,74370,Não,0.24,0.52,0.06,0.00
Ceará-Mirim,RN,74268,Em elaboração,0.11,0.82,0.06,0.00
Pacajus,CE,74145,Não,0.57,0.98,0.15,0.00
Irecê,BA,74050,Em elaboração,0.01,0.85,0.00,0.00
Santa Rosa,RS,73882,Sim,0.12,0.65,0.00,0.03
Farroupilha,RS,73758,Sim,0.13,--,0.13,0.00
Buriticupu,MA,73595,Não,0.86,--,0.45,0.00
Palmeira dos Índios,AL,73452,Não,0.06,0.95,0.07,--
Amparo,SP,73145,Em elaboração,0.21,0.25,0.00,0.03
Santa Luzia,MA,73105,Em elaboração,0.65,--,0.49,0.00
Casa Nova,BA,73092,Em elaboração,0.00,0.56,0.03,0.00
Rio do Sul,SC,72931,Sim,0.00,--,0.07,0.40
Santa Izabel do Pará,PA,72856,Não,0.13,--,0.01,0.00
Cascavel,CE,72706,Em elaboração,0.53,0.98,0.15,--
Esmeraldas,MG,72512,Em elaboração,0.33,0.86,0.08,0.00
Alegrete,RS,72493,Sim,0.10,0.79,0.10,0.07
Janaúba,MG,72374,Não,0.11,0.76,0.09,0.01
Venâncio Aires,RS,72373,Sim,0.37,0.95,0.11,0.06
Indaial,SC,72346,Sim,0.00,0.80,0.02,0.00
Castro,PR,72125,Sim,0.02,0.20,0.17,0.00
Goianésia,GO,72045,Sim,0.09,0.10,0.07,0.01
Gaspar,SC,71925,Sim,0.06,0.98,0.10,0.45
São Sebastião do Paraíso,MG,71915,Sim,0.12,0.16,0.04,0.01
Campo Formoso,BA,71754,Em elaboração,0.50,0.94,--,--
Grajaú,MA,70692,Em elaboração,0.12,--,--,--
Biguaçu,SC,70471,Sim,0.00,--,0.00,0.39
Ouricuri,PE,70466,Não,0.19,--,--,--
Embu-Guaçu,SP,70402,Sim,0.11,0.59,0.03,0.00
Bom Jesus da Lapa,BA,70151,Em elaboração,0.00,0.69,0.65,0.01
Sousa,PB,69997,Não,--,--,--,--
Campo Bom,RS,69981,Sim,0.23,1.00,0.00,--
Estância,SE,69919,Sim,0.15,0.92,0.15,0.00
Capanema,PA,69828,Não,0.86,--,0.20,0.19
Cabedelo,PB,69773,Sim,0.00,0.62,0.00,0.00
Escada,PE,69701,Em elaboração,0.21,--,--,--
Peruíbe,SP,69697,Em elaboração,0.00,0.21,0.01,0.26
Horizonte,CE,69688,Em elaboração,0.47,0.92,0.05,--
Fernandópolis,SP,69680,Sim,0.00,0.00,0.00,0.01
Lucas do Rio Verde,MT,69671,Sim,0.06,0.53,0.06,0.00
Lençóis Paulista,SP,69533,Sim,0.02,0.02,0.00,0.03
Araranguá,SC,69493,Sim,0.27,0.86,0.00,0.02
Mineiros,GO,69477,Não,0.00,0.03,0.00,0.00
Itapema,SC,69323,Sim,0.02,0.23,0.02,0.02
Itapecuru Mirim,MA,69233,Sim,0.43,0.95,--,--
Mococa,SP,69072,Não,0.00,0.00,0.08,0.01
Caicó,RN,68726,Em elaboração,0.00,0.78,0.00,0.01
Breu Branco,PA,68597,Sim,0.92,--,0.05,0.00
Tabatinga,AM,68502,Não,0.56,--,0.30,--
Icó,CE,68303,Não,0.31,0.77,0.41,0.05
Rolândia,PR,68165,Sim,0.00,0.36,0.05,0.00
Pesqueira,PE,68067,Em elaboração,0.33,0.32,0.20,0.01
Januária,MG,67958,Sim,0.40,0.85,0.37,0.10
Formiga,MG,67956,Sim,0.02,0.08,0.09,0.00
Brumado,BA,67468,Sim,0.20,0.93,0.14,0.00
Conceição do Coité,BA,67394,Em elaboração,0.14,0.97,0.02,0.00
Ipixuna do Pará,PA,67170,Em elaboração,0.03,--,0.47,--
Vacaria,RS,66916,Sim,0.07,--,0.07,0.00
Lagoa Santa,MG,66744,Sim,0.14,0.50,0.02,0.00
Camaquã,RS,66686,Sim,0.21,--,0.01,0.00
Surubim,PE,66192,Não,0.00,0.79,0.09,0.04
Maués,AM,66159,Não,--,--,0.51,0.02
Montenegro,RS,66157,Sim,0.11,--,0.02,0.00
Bertioga,SP,66154,Em elaboração,0.12,0.41,0.02,0.04
União dos Palmares,AL,65963,Em elaboração,0.21,0.29,0.24,0.01
Coroatá,MA,65788,Não,0.23,0.94,--,--
Tupã,SP,65615,Sim,0.00,0.00,0.04,0.00
Pedro Leopoldo,MG,65149,Sim,0.17,0.37,0.16,0.19
Itaberaba,BA,64795,Em elaboração,0.10,0.71,0.10,--
Benevides,PA,64780,Não,0.21,--,0.00,0.00
Tomé-Açu,PA,64604,Não,0.21,--,0.26,0.00
Itamaraju,BA,64423,Não,0.21,0.39,0.02,0.02
Itupeva,SP,64330,Em elaboração,0.13,0.24,0.00,0.09
Camocim,CE,64147,Em elaboração,0.01,0.64,0.31,0.00
Penápolis,SP,64098,Sim,0.04,0.04,0.04,0.00
Penedo,AL,64005,Não,0.02,--,0.03,0.04
Cruz das Almas,BA,63923,Não,0.09,0.55,0.00,0.00
Barreirinhas,MA,63891,Em elaboração,0.72,0.93,0.44,0.01
Primavera do Leste,MT,63876,Sim,0.05,0.08,0.18,0.00
Portel,PA,63831,Não,0.97,--,--,--
Piripiri,PI,63829,Não,0.07,--,0.22,--
Moreno,PE,63792,Não,0.20,0.72,0.11,0.02
Palmares,PE,63745,Sim,0.16,--,0.00,0.18
Acaraú,CE,63556,Em elaboração,0.68,0.95,0.51,0.00
Batatais,SP,63438,Não,0.12,0.12,0.05,0.00
Igarapé-Miri,PA,63367,Não,0.90,--,0.64,0.00
Boituva,SP,63310,Sim,0.04,0.17,0.06,0.00
Cajazeiras,PB,62576,Não,0.00,0.82,0.27,0.03
Carazinho,RS,62413,Sim,0.02,--,0.02,0.01
São Miguel dos Campos,AL,62328,Em elaboração,0.04,0.49,0.01,0.03
Ulianópolis,PA,62286,Não,0.00,0.98,0.34,0.00
Guapimirim,RJ,62225,Sim,0.26,--,--,0.00
São Gabriel,RS,62187,Sim,0.11,0.79,0.11,0.01
Viseu,PA,62093,Não,0.92,--,0.55,0.07
Viçosa do Ceará,CE,61916,Sim,0.79,0.69,0.41,0.00
Mariana,MG,61830,Sim,0.00,0.00,0.02,0.00
Nova Odessa,SP,61716,Sim,0.02,0.04,0.02,0.00
Monte Mor,SP,61707,Sim,0.00,0.04,0.00,0.00
Barra do Garças,MT,61702,Sim,0.00,0.27,0.84,0.00
Barbalha,CE,61662,Sim,0.47,0.91,0.08,--
Morada Nova,CE,61590,Sim,0.04,0.98,0.05,0.12
Salgueiro,PE,61561,Em elaboração,0.00,0.60,0.18,0.00
Irati,PR,61439,Sim,0.04,0.15,0.20,0.00
Cristalina,GO,61385,Em elaboração,0.25,0.63,0.27,0.00
Dom Eliseu,PA,61206,Não,0.22,0.99,--,--
Ibitinga,SP,61150,Sim,0.04,0.04,0.00,0.00
Euclides da Cunha,BA,61112,Em elaboração,0.32,0.86,--,--
Bezerros,PE,60960,Não,0.05,--,0.00,0.04
Rio Bonito,RJ,60930,Não,0.57,0.28,0.04,0.01
Sidrolândia,MS,60792,Em elaboração,0.41,0.85,0.37,0.00
Mirassol,SP,60768,Não,0.03,0.03,0.03,0.00
São Bento do Una,PE,60567,Não,0.48,0.48,0.34,--
Jacundá,PA,60517,Em elaboração,0.60,--,0.11,--
Frutal,MG,60508,Sim,0.24,0.22,0.00,--
São Miguel do Guamá,PA,60268,Não,0.61,--,0.38,0.01
Limoeiro do Norte,CE,60232,Sim,0.02,0.73,0.00,0.05
Santo Amaro,BA,60190,Em elaboração,0.16,0.56,0.00,--
Floriano,PI,60111,Não,0.00,0.74,0.14,0.03
Ponte Nova,MG,60003,Sim,0.00,0.00,0.03,--
Juruti,PA,59961,Em elaboração,--,--,--,--
Tutóia,MA,59927,Não,0.95,0.98,0.50,0.00
Jaguariúna,SP,59921,Sim,0.00,0.05,0.00,0.01
São Borja,RS,59768,Sim,0.11,0.80,0.07,0.02
Cachoeiras de Macacu,RJ,59652,Sim,0.16,--,0.07,0.00
Cruz Alta,RS,59561,Sim,0.04,0.79,0.04,--
Buíque,PE,59448,Não,0.66,0.24,0.36,0.00
Parobé,RS,59419,Sim,0.49,--,0.06,0.12
Guarabira,PB,59389,Não,0.00,0.42,0.00,0.03
Ipirá,BA,59281,Não,0.36,0.78,0.33,0.01
Tauá,CE,59259,Sim,0.56,0.93,0.34,0.01
Tefé,AM,59250,Não,0.19,--,0.16,0.29
Açu,RN,58743,Sim,0.21,--,0.15,0.01
Mongaguá,SP,58567,Sim,0.08,0.22,0.00,0.04
Santa Isabel,SP,58529,Sim,0.33,0.56,0.00,0.06
União da Vitória,PR,58298,Sim,0.00,0.66,0.05,0.22
Monte Alegre,PA,58289,Não,0.84,--,0.51,0.20
Içara,SC,58055,Em elaboração,0.00,0.79,0.00,0.09
Campo Alegre,AL,57997,Não,0.11,0.20,0.29,--
Vargem Grande,MA,57813,Não,0.89,--,0.46,0.00
Taquara,RS,57740,Em elaboração,0.33,--,0.01,0.01
Coruripe,AL,57647,Em elaboração,0.00,0.76,0.12,0.02
Taquaritinga,SP,57547,Sim,0.05,0.05,0.05,--
Manicoré,AM,57405,Sim,0.56,--,0.41,0.00
Alenquer,PA,57390,Não,0.87,--,0.40,--
Paudalho,PE,57346,Não,0.27,--,--,--
Andradina,SP,57245,Sim,0.00,0.07,0.07,0.01
Humaitá,AM,57195,Não,0.02,--,0.31,0.01
Três Pontas,MG,57127,Em elaboração,0.00,0.00,0.14,0.01
Capivari,SP,56973,Sim,0.06,0.11,0.03,0.01
Porto Ferreira,SP,56848,Sim,0.02,0.02,0.00,0.05
Pirapora,MG,56845,Sim,0.03,0.54,0.02,0.04
Mafra,SC,56825,Sim,0.06,--,0.22,0.05
Trairi,CE,56653,Não,0.86,0.97,0.38,0.00
São Francisco,MG,56625,Em elaboração,0.42,0.69,0.29,0.13
Naviraí,MS,56484,Sim,0.09,0.59,0.04,0.00
Registro,SP,56463,Sim,0.00,0.06,0.00,0.02
Canguçu,RS,56370,Não,0.63,0.63,0.63,0.01
Artur Nogueira,SP,56247,Não,0.10,0.11,0.04,0.00
Limoeiro,PE,56149,Em elaboração,0.10,--,0.00,--
Nova Andradina,MS,56057,Sim,0.16,0.63,0.00,0.00
Congonhas,MG,55836,Em elaboração,0.20,0.36,0.00,0.04
Rolim de Moura,RO,55748,Sim,0.18,0.98,0.19,0.02
Acará,PA,55744,Não,0.86,--,--,--
Piedade,SP,55731,Sim,0.40,0.64,0.28,0.00
Ibiporã,PR,55688,Sim,0.00,0.02,0.05,0.00
Olímpia,SP,55477,Sim,0.06,0.06,0.06,0.00
São José do Rio Pardo,SP,55298,Sim,0.00,0.09,0.05,0.02
Catu,BA,55222,Sim,0.00,--,0.01,0.01
Granja,CE,55170,Em elaboração,0.36,0.97,0.51,0.00
Eusébio,CE,55035,Sim,0.32,0.86,0.00,0.00
Capão da Canoa,RS,55009,Sim,0.01,0.41,0.00,0.31
Jaguaquara,BA,54913,Não,0.24,0.68,0.09,0.18
Araci,BA,54903,Não,0.35,0.62,0.38,0.00
São Francisco do Sul,SC,54751,Sim,0.05,0.94,0.00,0.01
Acopiara,CE,54687,Em elaboração,0.68,0.93,--,--
Boa Viagem,CE,54680,Em elaboração,0.28,0.61,0.45,0.00
Vigia,PA,54650,Em elaboração,0.85,--,0.23,--
Canoinhas,SC,54558,Sim,0.06,0.84,0.27,0.03
Capitão Poço,PA,54545,Não,0.80,--,--,0.03
Campo Belo,MG,54338,Sim,0.04,0.05,0.00,0.00
Beberibe,CE,54315,Sim,0.87,0.93,0.35,0.00
Vargem Grande Paulista,SP,54315,Sim,0.02,0.65,0.00,0.00
Barra,BA,54225,Sim,--,--,0.54,0.02
Videira,SC,54145,Sim,0.09,1.00,0.02,0.01
Ribeira do Pombal,BA,54097,Em elaboração,0.30,--,0.17,0.01
Marechal Cândido Rondon,PR,54031,Sim,0.00,0.70,0.16,--
Porto Feliz,SP,53698,Sim,0.00,0.00,0.00,0.03
Santo Estêvão,BA,53666,Em elaboração,0.41,0.92,0.19,0.00
Inhumas,GO,53655,Sim,0.06,0.24,0.07,0.00
Porto Nacional,TO,53618,Sim,0.07,0.16,0.14,--
Tramandaí,RS,53507,Não,0.02,0.73,0.00,0.21
Itapajé,CE,53448,Não,0.30,0.30,0.30,0.33
Itupiranga,PA,53439,Não,0.88,0.99,0.53,0.02
Rondon do Pará,PA,53242,Sim,0.27,--,0.26,0.00
Lagoa da Prata,MG,53236,Sim,0.17,0.18,0.01,--
Paracambi,RJ,53093,Em elaboração,0.34,0.28,0.02,0.46
Itabirito,MG,52996,Sim,0.02,0.15,0.02,0.00
Sapé,PB,52977,Em elaboração,0.34,0.83,0.00,0.00
Tobias Barreto,SE,52861,Em elaboração,0.15,0.30,0.03,--
Viana,MA,52852,Em elaboração,--,--,--,--
Marechal Deodoro,AL,52848,Em elaboração,0.10,0.88,0.09,0.02
Prudentópolis,PR,52776,Sim,0.39,0.50,0.41,0.01
São Joaquim da Barra,SP,52737,Sim,0.02,0.02,0.02,0.00
Campos do Jordão,SP,52713,Sim,0.37,0.46,0.00,0.03
Leopoldina,MG,52690,Em elaboração,0.25,0.01,0.01,0.01
Timbaúba,PE,52587,Não,0.02,--,0.03,0.00
Paraíso do Tocantins,TO,52521,Em elaboração,0.03,0.75,0.05,0.00
Palmas,PR,52503,Não,0.03,0.26,0.03,0.01
Delmiro Gouveia,AL,52501,Em elaboração,0.01,0.92,0.08,0.00
Óbidos,PA,52473,Não,0.70,--,0.39,0.04
Rurópolis,PA,52473,Não,0.74,--,0.31,0.01
Laranjal do Jari,AP,52302,Sim,0.71,--,0.00,0.05
Xanxerê,SC,52290,Sim,0.29,--,0.11,0.02
Guaxupé,MG,52234,Em elaboração,0.12,0.16,0.00,0.00
Zé Doca,MA,52190,Em elaboração,0.75,--,0.25,0.00
Jaraguá,GO,52160,Em elaboração,0.21,0.75,0.02,0.00
Alta Floresta,MT,52105,Em elaboração,0.13,0.56,0.08,0.03
Rio Grande da Serra,SP,52009,Sim,0.15,0.40,0.00,0.00
Pontal,SP,51717,Sim,0.00,0.00,0.02,0.00
Brejo da Madre de Deus,PE,51696,Não,0.43,0.01,0.13,0.00
Jaru,RO,51469,Sim,0.50,--,0.20,0.04
Bom Despacho,MG,51436,Sim,0.10,0.13,0.01,0.00
Quirinópolis,GO,51323,Em elaboração,0.12,0.12,0.12,0.00
Estância Velha,RS,51292,Sim,0.19,0.97,0.00,0.01
Caetité,BA,51184,Sim,0.40,--,0.00,0.00
Cabreúva,SP,51130,Sim,0.23,0.33,0.00,0.00
Monte Alto,SP,51039,Sim,0.00,0.00,0.05,0.00
Louveira,SP,51007,Sim,0.00,0.12,0.00,0.04
Lago da Pedra,MA,50959,Em elaboração,0.92,--,0.02,0.04
Tucano,BA,50903,Não,0.51,0.81,0.58,0.01
Itararé,SP,50778,Não,0.06,0.14,0.08,0.01
Nova Venécia,ES,50751,Sim,0.36,0.76,0.01,0.03
Cerquilho,SP,50631,Sim,0.07,0.10,0.00,0.00
Bocaiúva,MG,50521,Sim,0.08,0.19,0.05,0.00
Macaúbas,BA,50481,Em elaboração,0.04,0.72,0.56,0.00
Brejo Santo,CE,50195,Em elaboração,0.33,0.55,0.27,0.00
Coelho Neto,MA,49804,Não,0.89,--,0.17,--
Iranduba,AM,49718,Em elaboração,0.29,--,0.30,0.00
Baião,PA,49454,Sim,0.35,--,0.11,0.08
São Gonçalo do Amarante,CE,49306,Não,0.74,0.87,0.16,0.29
Santiago,RS,49298,Sim,0.09,0.00,0.01,0.00
Jales,SP,49291,Sim,0.00,0.00,0.06,0.00
Monte Santo,BA,49145,Não,0.64,--,0.43,0.00
Pacajá,PA,49110,Em elaboração,--,--,0.67,0.25
Pedreira,SP,48992,Sim,0.02,0.02,0.00,0.07
Bom Conselho,PE,48975,Não,0.30,--,--,0.02
Maracaju,MS,48944,Em elaboração,0.15,0.70,0.14,0.01
Lapa,PR,48651,Sim,0.19,0.38,0.40,0.00
Mauriti,CE,48370,Sim,0.73,0.94,0.07,0.00
São Benedito,CE,48354,Não,0.59,0.84,0.20,0.00
Presidente Dutra,MA,48264,Não,0.72,--,0.21,0.01
Tremembé,SP,48228,Em elaboração,0.00,0.03,0.00,0.00
Nova Mutum,MT,48222,Sim,0.00,--,0.00,0.00
Santa Cruz do Rio Pardo,SP,48207,Sim,0.00,0.00,0.01,0.00
Aquidauana,MS,48184,Em elaboração,0.22,0.85,0.21,0.03
Conceição do Araguaia,PA,48115,Em elaboração,0.53,--,0.16,0.00
Monte Carmelo,MG,48049,Sim,0.00,0.16,0.00,0.00
João Pinheiro,MG,47990,Sim,0.27,0.31,0.01,0.00
Diamantina,MG,47924,Sim,0.15,0.33,0.17,0.00
Santana do Ipanema,AL,47910,Não,0.24,0.81,0.20,0.06
Cornélio Procópio,PR,47840,Sim,0.00,0.00,0.00,0.00
Ribeirão,PE,47813,Em elaboração,0.29,--,--,--
Mairinque,SP,47723,Sim,0.07,0.22,0.01,0.02
Lábrea,AM,47685,Não,0.39,--,0.36,0.25
Mata de São João,BA,47643,Sim,0.01,0.46,0.10,0.00
Atalaia,AL,47540,Não,0.63,--,0.49,0.05
Pederneiras,SP,47523,Sim,0.00,0.01,0.07,0.00
Barras,PI,47298,Não,0.51,--,0.57,0.02
Dracena,SP,47287,Em elaboração,0.00,0.08,0.08,0.03
Sena Madureira,AC,47168,Não,0.67,--,0.41,0.26
São Mateus do Sul,PR,47137,Sim,0.34,0.59,0.38,0.00
Capão Bonito,SP,47098,Sim,0.02,0.13,0.08,0.00
Araioses,MA,47095,Em elaboração,0.85,--,0.48,0.00
Toritama,PE,47088,Não,0.20,0.23,0.00,0.04
Niquelândia,GO,47064,Em elaboração,0.22,0.66,--,0.00
São Gabriel da Cachoeira,AM,47031,Não,0.50,--,0.38,0.01
Morrinhos,GO,46955,Sim,0.14,0.24,0.13,0.00
Campo Maior,PI,46950,Sim,0.00,--,0.47,--
Medianeira,PR,46940,Em elaboração,0.00,0.50,0.11,0.01
Augusto Corrêa,PA,46937,Não,0.95,--,0.30,0.02
Guajará-Mirim,RO,46930,Não,0.57,0.92,0.15,0.09
Poções,BA,46885,Sim,0.18,--,--,--
Sirinhaém,PE,46845,Em elaboração,0.41,0.83,--,0.02
Osório,RS,46815,Sim,0.16,0.97,0.01,0.01
Guaramirim,SC,46757,Sim,0.07,--,0.00,0.10
Xique-Xique,BA,46562,Não,0.00,0.86,0.29,--
São Lourenço,MG,46539,Em elaboração,0.00,0.08,0.00,0.05
Santo Antônio da Platina,PR,46503,Em elaboração,0.00,0.01,0.13,0.00
Laguna,SC,46424,Sim,0.00,0.33,0.00,0.00
Livramento de Nossa Senhora,BA,46372,Não,0.50,--,--,--
Santos Dumont,MG,46357,Sim,0.24,0.47,0.12,0.02
Salto de Pirapora,SP,46285,Sim,0.00,0.19,0.00,0.00
Goianira,GO,46278,Em elaboração,0.04,0.63,0.02,0.00
Paraguaçu Paulista,SP,46180,Sim,0.04,0.05,0.00,0.00
Serrana,SP,46166,Não,0.03,0.03,0.00,0.00
Pontes e Lacerda,MT,46105,Em elaboração,0.16,0.35,0.25,0.00
São Bento,MA,45989,Em elaboração,0.52,--,0.57,0.01
Ipiaú,BA,45969,Sim,0.09,0.71,0.09,0.01
Canela,RS,45957,Sim,0.09,0.81,0.00,0.02
Mangaratiba,RJ,45941,Em elaboração,0.12,--,0.21,0.01
Porangatu,GO,45866,Em elaboração,0.15,0.54,0.16,0.00
Casimiro de Abreu,RJ,45864,Em elaboração,0.17,0.42,0.04,0.03
Imbituba,SC,45711,Sim,0.00,0.93,0.00,0.01
Timbó,SC,45703,Sim,0.00,--,0.00,0.43
Jardinópolis,SP,45544,Em elaboração,0.00,0.00,0.04,0.00
Marau,RS,45523,Sim,0.16,0.83,0.13,0.00
Xinguara,PA,45416,Sim,0.55,0.95,0.22,0.00
Uruará,PA,45395,Não,--,--,--,--
Mamanguape,PB,45385,Em elaboração,0.56,0.85,0.19,--
Caeté,MG,45364,Sim,0.02,0.10,0.00,0.01
Barra de São Francisco,ES,45301,Não,0.44,0.78,0.00,0.00
Currais Novos,RN,45022,Em elaboração,0.23,0.37,0.02,0.10
Maragogipe,BA,44902,Em elaboração,0.41,0.68,0.23,0.05
Benjamin Constant,AM,44873,Não,0.53,--,0.47,0.16
Paraíba do Sul,RJ,44741,Sim,0.13,0.28,0.64,0.01
Orlândia,SP,44682,Sim,0.02,0.02,0.03,0.00
União,PI,44649,Não,0.50,0.57,0.35,0.01
Espírito Santo do Pinhal,SP,44607,Sim,0.10,0.11,0.09,0.03
Panambi,RS,44583,Sim,0.09,0.99,0.00,0.02
Presidente Epitácio,SP,44572,Sim,0.00,0.11,0.00,0.02
Teotônio Vilela,AL,44570,Em elaboração,0.13,0.37,0.00,0.00
São José de Mipibu,RN,44566,Em elaboração,0.37,0.99,0.55,0.00
Igarapé,MG,44561,Sim,0.17,0.59,0.06,0.01
São Sebastião do Passé,BA,44554,Em elaboração,0.20,0.95,0.10,0.01
Garça,SP,44429,Em elaboração,0.09,0.09,0.09,0.00
Queimadas,PB,44388,Em elaboração,0.28,0.98,0.14,0.08
Seabra,BA,44370,Não,0.52,--,0.47,0.22
Itaberaí,GO,44329,Em elaboração,0.17,0.48,0.10,0.00
Santa Rita do Sapucaí,MG,44226,Não,0.18,0.19,0.00,0.48
Amontada,CE,44195,Não,--,--,--,--
Vera Cruz,BA,44185,Não,0.11,0.76,--,--
Paraty,RJ,44175,Sim,0.05,0.94,0.19,0.42
Nova Viçosa,BA,44170,Não,0.14,0.96,0.14,0.34
Campina Grande do Sul,PR,44072,Em elaboração,0.00,0.02,0.00,0.01
Campo Verde,MT,44033,Em elaboração,0.19,0.32,0.08,0.00
Águas Belas,PE,43923,Não,0.52,0.63,0.32,0.05
Mombaça,CE,43917,Não,0.72,--,0.45,0.00
Catende,PE,43778,Sim,0.13,--,--,--
Tarauacá,AC,43730,Sim,0.67,--,0.46,--
Santa Quitéria,CE,43719,Não,0.61,0.00,0.09,0.00
Itápolis,SP,43536,Sim,0.01,0.01,0.03,0.00
São Lourenço do Sul,RS,43501,Sim,0.44,--,0.19,0.01
Santo Antônio da Patrulha,RS,43397,Sim,0.38,1.00,0.01,0.00
Vargem Grande do Sul,SP,43368,Sim,0.05,0.05,0.03,0.00
Pedra Branca,CE,43359,Não,0.61,--,0.20,--
Visconde do Rio Branco,MG,43351,Sim,0.25,0.30,0.03,0.34
Rosário,MA,43243,Não,0.02,--,0.41,0.00
Estreito,MA,43097,Em elaboração,--,--,0.23,0.05
Tietê,SP,42946,Sim,0.10,0.17,0.00,0.00
Barreiros,PE,42866,Não,0.07,0.70,--,0.28
Santa Helena,MA,42829,Sim,0.99,--,0.16,0.24
Mucuri,BA,42729,Em elaboração,0.30,0.66,0.06,0.00
Santo Antônio de Pádua,RJ,42705,Sim,0.01,0.18,0.23,0.03
Rio Negrinho,SC,42684,Sim,0.00,0.21,0.02,0.11
Machado,MG,42682,Não,0.01,0.01,0.00,0.18
Itarema,CE,42595,Não,0.83,0.96,0.51,0.29
Eldorado do Sul,RS,42490,Sim,0.10,0.84,0.01,0.18
Porto de Moz,PA,42456,Não,0.58,--,0.57,0.44
Paranaíba,MS,42401,Em elaboração,0.12,0.23,0.11,0.00
Itabaianinha,SE,42399,Em elaboração,0.24,0.35,0.40,0.00
Almenara,MG,42380,Em elaboração,0.21,0.28,0.16,0.07
Borba,AM,42328,Não,0.03,--,0.60,0.00
Santa Maria da Boa Vista,PE,42266,Em elaboração,0.55,0.67,0.53,0.00
Ituverava,SP,42259,Em elaboração,0.00,0.00,0.06,0.00
Paiçandu,PR,42251,Em elaboração,0.00,0.00,0.01,0.00
Tuntum,MA,42242,Não,0.63,--,0.29,0.01
São Francisco de Itabapoana,RJ,42214,Não,0.66,--,0.00,0.02
Ipu,CE,42148,Em elaboração,0.10,--,0.05,0.00
Amarante do Maranhão,MA,42017,Em elaboração,0.88,--,0.60,--
Entre Rios,BA,42014,Em elaboração,0.13,0.88,0.00,0.01
Bom Jardim,MA,42010,Em elaboração,0.69,--,0.47,0.01
Oliveira,MG,41987,Sim,0.00,0.00,0.04,0.01
Salinas,MG,41864,Sim,0.13,0.37,0.08,0.06
Novo Horizonte,SP,41765,Sim,0.01,0.01,0.05,0.00
São Mateus do Maranhão,MA,41750,Em elaboração,0.70,--,0.16,0.00
Machadinho D'Oeste,RO,41724,Em elaboração,0.69,--,0.40,0.00
Charqueadas,RS,41705,Sim,0.02,--,0.02,0.01
Andradas,MG,41704,Em elaboração,0.27,0.25,0.00,0.04
Socorro,SP,41690,Sim,0.39,0.44,0.10,0.02
Goianésia do Pará,PA,41678,Sim,0.71,0.97,0.32,0.00
Santa Maria de Jetibá,ES,41588,Em elaboração,0.67,0.78,0.35,0.05
Girau do Ponciano,AL,41549,Não,0.61,--,--,0.02
Américo Brasiliense,SP,41545,Sim,0.01,0.01,0.01,0.00
Muaná,PA,41454,Em elaboração,0.07,--,0.58,--
Colinas,MA,41443,Não,0.54,--,--,--
Dois Vizinhos,PR,41424,Sim,0.00,0.28,0.22,0.17
Remanso,BA,41324,Em elaboração,0.19,0.39,0.40,0.00
São Manuel,SP,41287,Não,0.00,0.00,0.02,0.02
Guaíra,SP,41283,Sim,0.00,0.00,0.04,0.00
Sento Sé,BA,41279,Não,0.00,0.88,0.42,0.00
São Miguel do Oeste,SC,41246,Sim,0.11,0.98,0.13,0.00
Promissão,SP,41211,Sim,0.11,0.16,0.16,0.01
Rio Real,BA,41209,Não,0.24,--,0.24,0.00
Brumadinho,MG,41208,Sim,0.31,0.58,0.03,--
Juína,MT,41190,Em elaboração,0.15,0.95,0.03,0.00
